CustomerID,Recency,Frequency,Monetary,AvgOrderValue,AvgItemsPerOrder,UniqueProducts,ActiveDays,PurchaseSpan,AvgDaysBetweenOrders,TopCountry,CustomerValueScore,LoyaltyScore,SpendIntensity,Cluster,SegmentName
12346,326,1,77183.6,77183.6,74215.0,1,1,0,0.0,United Kingdom,38569.200000000004,0.0030581039755351682,77183.6,1,🏆 High Value Customers
12347,2,7,4310.0,615.7142857142857,351.14285714285717,103,7,365,2.0,Iceland,2224.8,2.3333333333333335,11.775956284153006,0,🌱 Potential Customers
12348,75,4,1797.24,449.31,585.25,22,4,282,9.4,Finland,931.12,0.05263157894736842,6.350671378091873,0,🌱 Potential Customers
12349,19,1,1757.55,1757.55,631.0,73,1,0,0.0,Italy,886.875,0.05,1757.55,1,🏆 High Value Customers
12350,310,1,334.4,334.4,197.0,17,1,0,0.0,Norway,146.2,0.003215434083601286,334.4,3,⚠️ At Risk Customers
12352,36,8,2506.04,313.255,67.0,59,8,260,3.0714285714285716,Norway,1329.42,0.21621621621621623,9.601685823754789,0,🌱 Potential Customers
12353,204,1,89.0,89.0,20.0,4,1,0,0.0,Bahrain,34.099999999999994,0.004878048780487805,89.0,3,⚠️ At Risk Customers
12354,232,1,1079.4,1079.4,530.0,58,1,0,0.0,Spain,526.5,0.004291845493562232,1079.4,1,🏆 High Value Customers
12355,214,1,459.4,459.4,240.0,13,1,0,0.0,Bahrain,218.29999999999998,0.004651162790697674,459.4,3,⚠️ At Risk Customers
12356,23,3,2811.43,937.1433333333333,530.3333333333334,53,3,302,5.206896551724138,Portugal,1433.415,0.125,9.278646864686468,0,🌱 Potential Customers
12357,33,1,6207.67,6207.67,2708.0,131,1,0,0.0,Switzerland,3110.535,0.029411764705882353,6207.67,1,🏆 High Value Customers
12358,2,2,1168.06,584.03,124.0,13,2,149,8.277777777777779,Austria,603.8299999999999,0.6666666666666666,7.787066666666666,0,🌱 Potential Customers
12359,58,4,6310.03,1577.5075,402.25,214,4,274,1.1188524590163935,Cyprus,3189.2149999999997,0.06779661016949153,22.945563636363634,0,🌱 Potential Customers
12360,52,3,2662.06,887.3533333333334,388.3333333333333,105,3,148,1.15625,Austria,1355.83,0.05660377358490566,17.866174496644295,0,🌱 Potential Customers
12361,287,1,189.9,189.9,91.0,10,1,0,0.0,Belgium,76.25,0.003472222222222222,189.9,3,⚠️ At Risk Customers
12362,3,10,5226.23,522.6229999999999,222.9,201,10,292,1.0830188679245283,Belgium,2712.8149999999996,2.5,17.836962457337883,0,🌱 Potential Customers
12363,110,2,552.0,276.0,204.0,23,2,132,6.0,Unspecified,285.0,0.018018018018018018,4.150375939849624,3,⚠️ At Risk Customers
12364,8,4,1313.1,328.275,376.5,70,4,104,1.2261904761904763,Belgium,695.75,0.4444444444444444,12.505714285714285,0,🌱 Potential Customers
